Word,Count
#ActionBar_homeLayout,2
#com_facebook_like_view_com_facebook_object_type,2
#Toolbar_titleMarginEnd,2
#ListPopupWindow_android_dropDownHorizontalOffset,2
#SearchView_iconifiedByDefault,2
#AppCompatTheme_actionBarStyle,2
pit.feat.R.attr#homeAsUpIndicator},2
#AlertDialog_listLayout,2
<tr><td><code>index_entity_types</code></td><td>6</td><td></td></tr>,2
#TextAppearance_android_textStyle,2
#ActionBar_backgroundSplit,2
#ViewStubCompat_android_inflatedId,2
#Toolbar_titleMarginBottom,2
#SwitchCompat_android_thumb,2
matches,2
#Section_sectionId,2
#IMECorpus_userInputTag,2
#ActionBar_contentInsetRight,2
pit.feat:titleTextStyle,2
pit.feat:height}</code></td><td></td></tr>,2
#CardView_contentPaddingTop,2
///////////////////q,2
#ActionBarLayout_android_layout_gravity,2
#DrawerArrowToggle_color,2
#CardView_contentPaddingBottom,2
missing,2
#AppCompatTheme_colorControlActivated,2
#AppCompatTheme_dropdownListPreferredItemHeight,2
#AppCompatImageView_srcCompat,2
#AppCompatTheme_textColorSearchUrl,2
pit.feat:backgroundSplit,2
android:focusable}</code></td><td></td></tr>,2
android:orderInCategory}</code></td><td></td></tr>,2
#FeatureParam_paramValue,2
#ActionBar_height,2
#IMECorpus_userInputValue,2
android.R.attr#gravity},2
#MenuItem_android_checked,2
#AppCompatTheme_actionBarPopupTheme,2
#LinearLayoutCompat_Layout_android_layout_width,2
<tr><td><code>showCustom</code></td><td>0x10</td><td></td></tr>,2
#MenuItem_actionLayout,2
#MenuView_preserveIconSpacing,2
#AppCompatTheme_seekBarStyle,2
pit.feat.R.attr#logo},2
#SearchView_commitIcon,2
pit.feat:contentInsetStart}</code></td><td></td></tr>,2
#com_facebook_like_view_com_facebook_auxiliary_view_position,2
#PopupWindow},2
#DrawerArrowToggle_gapBetweenBars,2
<tr><td><code>disableHome</code></td><td>0x20</td><td></td></tr>,2
#AppCompatTheme_actionModeCloseDrawable,2
<tr><td><code>intent_action</code></td><td>3</td><td></td></tr>,2
#TextAppearance_android_textSize,2
#AppCompatTheme_actionOverflowMenuStyle,2
#Toolbar_popupTheme,2
#AppCompatTheme_buttonBarNeutralButtonStyle,2
#FeatureParam_paramName,2
activity's,2
#ActionMode_backgroundSplit,2
#CardView_contentPaddingLeft,2
#ActionBar_popupTheme,2
<tr><td><code>pixelate</code></td><td>6</td><td></td></tr>,2
have,2
#Corpus_perAccountTemplate,2
Group,2
#SwitchCompat_switchMinWidth,2
<tr><td><code>omnibox_title_section</code></td><td>5</td><td></td></tr>,2
#AppCompatTheme_actionOverflowButtonStyle,2
#Toolbar_subtitle,2
<tr><td><code>evaporate</code></td><td>1</td><td></td></tr>,2
<tr><td><code>listMode</code></td><td>1</td><td></td></tr>,2
0){,2
android.R.attr#windowAnimationStyle},2
<tr><td><code>omnibox_url_section</code></td><td>4</td><td></td></tr>,2
05/06/2016,2
#ActionMode_height,2
#SignInButton_colorScheme,2
#AppCompatTheme_textAppearanceLargePopupMenu,2
shrink,2
int[],2
#ShadowLayout_sl_shadowColor,2
#AlertDialog_multiChoiceItemLayout,2
#AppCompatTheme_alertDialogTheme,2
#AppCompatTheme_actionBarTabBarStyle,2
#AppCompatTheme_editTextBackground,2
#AppCompatTheme_ratingBarStyle,2
<tr><td><code>auto</code></td><td>2</td><td></td></tr>,2
#AppCompatTheme_actionBarSize,2
#SearchView_layout,2
#AppCompatTheme_actionDropDownStyle,2
17/05/2016,2
android:layout_gravity,2
#AppCompatTheme_textAppearanceListItem,2
<tr><td><code>adjust_width</code></td><td>1</td><td></td></tr>,2
#GlobalSearch_defaultIntentAction,2
<tr><td><code>box_count</code></td><td>2</td><td></td></tr>,2
#LinearLayoutCompat_android_orientation,2
#TextAppearance_textAllCaps,2
request,2
#MenuView_android_windowAnimationStyle,2
#ActionBar_displayOptions,2
#AppCompatTheme_android_windowAnimationStyle,2
integer,2
android:layout,2
#com_facebook_like_view_com_facebook_foreground_color,2
(LinearLayout),2
null,2
#ActionBar_icon,2
#SearchView_queryHint,2
pit.feat:divider}</code></td><td></td></tr>,2
initialize,2
#GlobalSearch_searchLabel,2
#ShadowLayout_sl_fillColor,2
\Otherwise,\,2
#AppCompatImageView_android_src,2
#Toolbar_subtitleTextColor,2
#MenuGroup_android_enabled,2
\"\<code>1.2</code>"\\,2
#View_android_focusable,2
